GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Darwin Core API,org.gbif.dwc.terms.jackson,TermKeySerializer,0,8,0,0,0,3,0,2,0,2
Darwin Core API,org.gbif.dwc.terms.jackson,TermKeyDeserializer,0,11,0,0,0,3,0,2,0,2
Darwin Core API,org.gbif.dwc.terms.jackson,DwcModule,41,0,0,0,6,0,1,0,1,0
Darwin Core API,org.gbif.dwc.terms.jackson,TermSerializer,0,8,0,0,0,3,0,2,0,2
Darwin Core API,org.gbif.dwc.terms.jackson,TermDeserializer,4,16,1,1,1,4,1,2,0,2
Darwin Core API,org.gbif.dwc.terms,MixsTerm,0,1292,0,4,0,110,0,11,0,9
Darwin Core API,org.gbif.dwc.terms,GadmTerm,0,126,0,0,0,19,0,8,0,8
Darwin Core API,org.gbif.dwc.terms,GbifTerm,1,1129,0,4,0,93,0,13,0,11
Darwin Core API,org.gbif.dwc.terms,AcTerm,0,743,0,6,0,79,0,10,0,7
Darwin Core API,org.gbif.dwc.terms,Term,0,24,0,0,0,2,0,2,0,2
Darwin Core API,org.gbif.dwc.terms,UnknownTerm,57,288,12,34,8,53,13,28,2,16
Darwin Core API,org.gbif.dwc.terms,ObisTerm,0,82,0,0,0,15,0,8,0,8
Darwin Core API,org.gbif.dwc.terms,XmpRightsTerm,0,52,0,0,0,11,0,7,0,7
Darwin Core API,org.gbif.dwc.terms,PlaziTerm,0,101,0,0,0,19,0,9,0,9
Darwin Core API,org.gbif.dwc.terms,DcElement,0,210,0,0,0,26,0,8,0,8
Darwin Core API,org.gbif.dwc.terms,GgbnTerm,0,985,0,2,0,104,0,10,0,9
Darwin Core API,org.gbif.dwc.terms,DwcaTerm,0,32,0,0,0,9,0,7,0,7
Darwin Core API,org.gbif.dwc.terms,TermComparator,0,9,0,0,0,2,0,2,0,2
Darwin Core API,org.gbif.dwc.terms,GbifInternalTerm,0,224,0,0,0,29,0,7,0,7
Darwin Core API,org.gbif.dwc.terms,IucnTerm,0,54,0,0,0,13,0,8,0,8
Darwin Core API,org.gbif.dwc.terms,GermplasmTerm,0,674,0,0,0,64,0,8,0,8
Darwin Core API,org.gbif.dwc.terms,XmpTerm,0,52,0,0,0,11,0,7,0,7
Darwin Core API,org.gbif.dwc.terms,TermFactory,72,624,16,48,15,115,18,34,3,17
Darwin Core API,org.gbif.dwc.terms,GbifDnaTerm,0,102,0,0,0,17,0,8,0,8
Darwin Core API,org.gbif.dwc.terms,IptcTerm,0,138,0,0,0,20,0,8,0,8
Darwin Core API,org.gbif.dwc.terms,Wgs84GeoPositioningTerm,0,143,0,2,0,20,0,9,0,8
Darwin Core API,org.gbif.dwc.terms,ExifTerm,0,54,0,0,0,13,0,8,0,8
Darwin Core API,org.gbif.dwc.terms,Terms,12,158,5,15,5,31,6,13,1,8
Darwin Core API,org.gbif.dwc.terms,BibTexTerm,31,77,7,7,6,20,8,11,3,9
Darwin Core API,org.gbif.dwc.terms,GbifMiqeTerm,0,270,0,0,0,31,0,8,0,8
Darwin Core API,org.gbif.dwc.terms,ChronoTerm,0,270,0,0,0,30,0,8,0,8
Darwin Core API,org.gbif.dwc.terms,AcefTerm,0,931,0,0,0,82,0,9,0,9
Darwin Core API,org.gbif.dwc.terms,DcTerm,0,715,0,2,0,69,0,9,0,8
Darwin Core API,org.gbif.dwc.terms,PhotoshopTerm,0,42,0,0,0,12,0,8,0,8
Darwin Core API,org.gbif.dwc.terms,DwcTerm,0,3096,0,12,0,239,0,19,0,13
